modelo,recall,f1,roc
Logistic Regression,0.8876811594202898,0.6550802139037433,0.9357189675083493
Random Forest,0.8586956521739131,0.7269938650306749,0.9493663972034083
XGBoost,0.782608695652174,0.6846275752773375,0.9378153708501098
