municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-73.60366287 5.731602716),5.731602716,-73.60366287,2358.0,Muy alto (>2.200 m)
POINT (-72.73032415 6.13211793),6.13211793,-72.73032415,2906.0,Muy alto (>2.200 m)
POINT (-72.72410815 6.083405978),6.083405978,-72.72410815,2702.0,Muy alto (>2.200 m)
POINT (-73.21681778 5.498747701),5.498747701,-73.21681778,3133.0,Muy alto (>2.200 m)
POINT (-72.69604089 6.323088045),6.323088045,-72.69604089,2220.0,Muy alto (>2.200 m)
POINT (-72.53646361 5.906513772),5.906513772,-72.53646361,2940.0,Muy alto (>2.200 m)
POINT (-72.68239784 5.960498836),5.960498836,-72.68239784,2883.0,Muy alto (>2.200 m)
POINT (-72.8709565 5.646672053),5.646672053,-72.8709565,3606.0,Muy alto (>2.200 m)
POINT (-73.42878785 4.970974064),4.970974064,-73.42878785,2049.0,Alto (1.800-2.200 m)
POINT (-73.44371838 5.580573191),5.580573191,-73.44371838,2730.0,Muy alto (>2.200 m)
POINT (-73.24352232 5.763010553),5.763010553,-73.24352232,2676.0,Muy alto (>2.200 m)
POINT (-73.31899997 5.494890461),5.494890461,-73.31899997,2945.0,Muy alto (>2.200 m)
POINT (-72.71575634 6.215200578),6.215200578,-72.71575634,2687.0,Muy alto (>2.200 m)
POINT (-73.62598773 5.640030759),5.640030759,-73.62598773,2261.0,Muy alto (>2.200 m)
POINT (-73.41224401 5.030711335),5.030711335,-73.41224401,1962.0,Alto (1.800-2.200 m)
POINT (-72.72626817 5.882294313),5.882294313,-72.72626817,3712.0,Muy alto (>2.200 m)
POINT (-73.42479699 5.071413139),5.071413139,-73.42479699,1695.0,Medio (1.000-1.800 m)
POINT (-73.3932521 5.301116649),5.301116649,-73.3932521,2021.0,Alto (1.800-2.200 m)
POINT (-73.01114724 5.747329389),5.747329389,-73.01114724,2691.0,Muy alto (>2.200 m)
POINT (-73.67614572 5.577566497),5.577566497,-73.67614572,2225.0,Muy alto (>2.200 m)
POINT (-72.69463583 6.42035349),6.42035349,-72.69463583,1955.0,Alto (1.800-2.200 m)
POINT (-73.1606969 5.580254287),5.580254287,-73.1606969,2843.0,Muy alto (>2.200 m)
POINT (-73.48921806 5.921830062),5.921830062,-73.48921806,1986.0,Alto (1.800-2.200 m)
POINT (-72.83672958 5.765350303),5.765350303,-72.83672958,2835.0,Muy alto (>2.200 m)
POINT (-72.99633297 5.501297215),5.501297215,-72.99633297,3379.0,Muy alto (>2.200 m)
POINT (-73.94330927 5.720301516),5.720301516,-73.94330927,1154.0,Medio (1.000-1.800 m)
POINT (-73.50908714 5.305697418),5.305697418,-73.50908714,2487.0,Muy alto (>2.200 m)
POINT (-73.17343053 5.678126998),5.678126998,-73.17343053,2652.0,Muy alto (>2.200 m)
POINT (-72.85707832 6.078051903),6.078051903,-72.85707832,3166.0,Muy alto (>2.200 m)
POINT (-73.46338477 5.217241368),5.217241368,-73.46338477,2470.0,Muy alto (>2.200 m)
POINT (-73.52097942 5.383385481),5.383385481,-73.52097942,2998.0,Muy alto (>2.200 m)
POINT (-73.26627456 5.440558216),5.440558216,-73.26627456,2860.0,Muy alto (>2.200 m)
POINT (-73.16763091 5.285635983),5.285635983,-73.16763091,1528.0,Medio (1.000-1.800 m)
POINT (-75.50727881 5.08343301),5.08343301,-75.50727881,2138.0,Alto (1.800-2.200 m)
POINT (-75.4554471 5.616204006),5.616204006,-75.4554471,2146.0,Alto (1.800-2.200 m)
POINT (-75.75289078 5.20029922),5.20029922,-75.75289078,1758.0,Medio (1.000-1.800 m)
POINT (-75.47392619 5.265539969),5.265539969,-75.47392619,2185.0,Alto (1.800-2.200 m)
POINT (-75.81225989 4.99467728),4.99467728,-75.81225989,1584.0,Medio (1.000-1.800 m)
POINT (-75.65954686 4.974340569),4.974340569,-75.65954686,1362.0,Medio (1.000-1.800 m)
POINT (-75.58978784 5.285743777),5.285743777,-75.58978784,1177.0,Medio (1.000-1.800 m)
POINT (-74.72114262 5.410515691),5.410515691,-74.72114262,194.0,Bajo (<1.000 m)
POINT (-75.55791071 5.393185716),5.393185716,-75.55791071,1446.0,Medio (1.000-1.800 m)
POINT (-75.15263447 5.23295391),5.23295391,-75.15263447,1684.0,Medio (1.000-1.800 m)
POINT (-75.60209955 5.492632029),5.492632029,-75.60209955,1685.0,Medio (1.000-1.800 m)
POINT (-75.04117892 5.309142491),5.309142491,-75.04117892,1615.0,Medio (1.000-1.800 m)
POINT (-75.28316648 5.235585244),5.235585244,-75.28316648,2541.0,Muy alto (>2.200 m)
POINT (-75.50692977 5.183358589),5.183358589,-75.50692977,1752.0,Medio (1.000-1.800 m)
POINT (-74.85492707 5.638062349),5.638062349,-74.85492707,547.0,Bajo (<1.000 m)
POINT (-75.48245057 5.500035035),5.500035035,-75.48245057,1995.0,Alto (1.800-2.200 m)
POINT (-75.66176266 5.050342543),5.050342543,-75.66176266,1061.0,Medio (1.000-1.800 m)
POINT (-75.16683996 5.407187836),5.407187836,-75.16683996,2704.0,Muy alto (>2.200 m)
POINT (-75.75220499 5.442275418),5.442275418,-75.75220499,2318.0,Muy alto (>2.200 m)
POINT (-75.73335166 5.097563816),5.097563816,-75.73335166,1175.0,Medio (1.000-1.800 m)
POINT (-75.40962177 5.370332425),5.370332425,-75.40962177,2843.0,Muy alto (>2.200 m)
POINT (-74.99718577 5.519692873),5.519692873,-74.99718577,947.0,Bajo (<1.000 m)
POINT (-75.8101789 5.083424513),5.083424513,-75.8101789,1259.0,Medio (1.000-1.800 m)
POINT (-75.64035705 5.45295802),5.45295802,-75.64035705,1309.0,Medio (1.000-1.800 m)
POINT (-74.83622502 5.447542859),5.447542859,-74.83622502,261.0,Bajo (<1.000 m)
POINT (-75.43544014 4.940211591),4.940211591,-75.43544014,3168.0,Muy alto (>2.200 m)
POINT (-75.879297 5.047822054),5.047822054,-75.879297,969.0,Bajo (<1.000 m)
POINT (-75.55823906 1.749138704),1.749138704,-75.55823906,503.0,Bajo (<1.000 m)
POINT (-75.88232651 1.22786549),1.22786549,-75.88232651,255.0,Bajo (<1.000 m)
POINT (-75.90947504 1.536174657),1.536174657,-75.90947504,784.0,Bajo (<1.000 m)
POINT (-74.27235499 0.647693081),0.647693081,-74.27235499,202.0,Bajo (<1.000 m)
POINT (-75.97328452 1.115379292),1.115379292,-75.97328452,242.0,Bajo (<1.000 m)
POINT (-75.26878109 1.713734697),1.713734697,-75.26878109,317.0,Bajo (<1.000 m)
POINT (-75.20231825 1.476630016),1.476630016,-75.20231825,258.0,Bajo (<1.000 m)
POINT (-75.23572732 1.302860442),1.302860442,-75.23572732,233.0,Bajo (<1.000 m)
POINT (-75.38664764 1.146692554),1.146692554,-75.38664764,219.0,Bajo (<1.000 m)
POINT (-75.67381123 1.38299611),1.38299611,-75.67381123,264.0,Bajo (<1.000 m)
POINT (-75.07308627 2.018940891),2.018940891,-75.07308627,551.0,Bajo (<1.000 m)
POINT (-76.11000594 1.304702314),1.304702314,-76.11000594,1120.0,Medio (1.000-1.800 m)
POINT (-74.19746971 1.308465061),1.308465061,-74.19746971,221.0,Bajo (<1.000 m)
POINT (-72.32036402 0.096131862),0.096131862,-72.32036402,144.0,Bajo (<1.000 m)
POINT (-75.64668544 0.943939454),0.943939454,-75.64668544,214.0,Bajo (<1.000 m)
POINT (-75.73779004 1.07534915),1.07534915,-75.73779004,242.0,Bajo (<1.000 m)
POINT (-76.59194419 2.471704362),2.471704362,-76.59194419,1743.0,Medio (1.000-1.800 m)
POINT (-76.83494519 1.912440521),1.912440521,-76.83494519,2268.0,Muy alto (>2.200 m)
POINT (-77.26314906 2.329337283),2.329337283,-77.26314906,1408.0,Medio (1.000-1.800 m)
POINT (-77.2088133 2.084732945),2.084732945,-77.2088133,2014.0,Alto (1.800-2.200 m)
POINT (-76.96337454 1.853951938),1.853951938,-76.96337454,1998.0,Alto (1.800-2.200 m)
POINT (-76.62158951 2.988923885),2.988923885,-76.62158951,1219.0,Medio (1.000-1.800 m)
POINT (-76.70138914 2.643209848),2.643209848,-76.70138914,1713.0,Medio (1.000-1.800 m)
POINT (-76.42719377 2.803845691),2.803845691,-76.42719377,2254.0,Muy alto (>2.200 m)
POINT (-76.32127977 3.062875557),3.062875557,-76.32127977,1511.0,Medio (1.000-1.800 m)
POINT (-76.20964569 3.136753606),3.136753606,-76.20964569,1739.0,Medio (1.000-1.800 m)
POINT (-77.00511207 2.534488312),2.534488312,-77.00511207,1825.0,Alto (1.800-2.200 m)
POINT (-77.08735723 1.69453474),1.69453474,-77.08735723,1555.0,Medio (1.000-1.800 m)
POINT (-76.39234811 3.144389993),3.144389993,-76.39234811,989.0,Bajo (<1.000 m)
POINT (-77.69047531 2.41326696),2.41326696,-77.69047531,89.0,Bajo (<1.000 m)
POINT (-76.13762531 2.499058783),2.499058783,-76.13762531,2851.0,Muy alto (>2.200 m)
POINT (-76.31124919 2.84981013),2.84981013,-76.31124919,1989.0,Alto (1.800-2.200 m)
POINT (-76.78228032 2.187473572),2.187473572,-76.78228032,1391.0,Medio (1.000-1.800 m)
POINT (-76.7588062 2.053933426),2.053933426,-76.7588062,2362.0,Muy alto (>2.200 m)
POINT (-77.24212158 2.95819877),2.95819877,-77.24212158,126.0,Bajo (<1.000 m)
POINT (-77.18060381 1.793825164),1.793825164,-77.18060381,1082.0,Medio (1.000-1.800 m)
POINT (-76.21670827 3.228235212),3.228235212,-76.21670827,1281.0,Medio (1.000-1.800 m)
POINT (-76.74605152 2.773663981),2.773663981,-76.74605152,1540.0,Medio (1.000-1.800 m)
POINT (-76.3362418 3.194730618),3.194730618,-76.3362418,992.0,Bajo (<1.000 m)
POINT (-75.99368264 2.733887702),2.733887702,-75.99368264,2480.0,Muy alto (>2.200 m)
POINT (-77.0465762 2.157983906),2.157983906,-77.0465762,598.0,Bajo (<1.000 m)
POINT (-76.4443271 1.054128816),1.054128816,-76.4443271,358.0,Bajo (<1.000 m)
POINT (-76.53770455 2.702420026),2.702420026,-76.53770455,1730.0,Medio (1.000-1.800 m)
POINT (-76.41846353 3.266724205),3.266724205,-76.41846353,966.0,Bajo (<1.000 m)
POINT (-76.44826938 2.262153618),2.262153618,-76.44826938,3279.0,Muy alto (>2.200 m)
POINT (-76.74582033 2.260421954),2.260421954,-76.74582033,1658.0,Medio (1.000-1.800 m)
POINT (-76.71652424 1.856261815),1.856261815,-76.71652424,3032.0,Muy alto (>2.200 m)
POINT (-76.49873145 2.984467338),2.984467338,-76.49873145,1144.0,Medio (1.000-1.800 m)
POINT (-76.53876281 1.52002179),1.52002179,-76.53876281,1125.0,Medio (1.000-1.800 m)
POINT (-76.35057356 2.651291894),2.651291894,-76.35057356,3159.0,Muy alto (>2.200 m)
POINT (-76.61146633 2.231820541),2.231820541,-76.61146633,2783.0,Muy alto (>2.200 m)
POINT (-76.7458243 2.936865997),2.936865997,-76.7458243,1944.0,Alto (1.800-2.200 m)
POINT (-76.90993965 2.057735184),2.057735184,-76.90993965,1674.0,Medio (1.000-1.800 m)
POINT (-76.71051932 2.369625312),2.369625312,-76.71051932,1757.0,Medio (1.000-1.800 m)
POINT (-77.49131577 2.699475127),2.699475127,-77.49131577,48.0,Bajo (<1.000 m)
POINT (-76.20331566 2.975771999),2.975771999,-76.20331566,2625.0,Muy alto (>2.200 m)
POINT (-76.39675937 2.475213085),2.475213085,-76.39675937,2558.0,Muy alto (>2.200 m)
POINT (-76.46445558 3.180627317),3.180627317,-76.46445558,968.0,Bajo (<1.000 m)
POINT (-73.45784764 10.21890277),10.21890277,-73.45784764,84.0,Bajo (<1.000 m)
POINT (-73.6227405 8.248735219),8.248735219,-73.6227405,111.0,Bajo (<1.000 m)
POINT (-73.22358244 9.949215908),9.949215908,-73.22358244,123.0,Bajo (<1.000 m)
POINT (-73.94214641 9.510727925),9.510727925,-73.94214641,84.0,Bajo (<1.000 m)
POINT (-73.25250522 9.727732939),9.727732939,-73.25250522,103.0,Bajo (<1.000 m)
POINT (-73.86628815 9.946391309),9.946391309,-73.86628815,83.0,Bajo (<1.000 m)
POINT (-73.84697903 9.27797765),9.27797765,-73.84697903,57.0,Bajo (<1.000 m)
POINT (-73.54797894 9.426648354),9.426648354,-73.54797894,40.0,Bajo (<1.000 m)
POINT (-73.48810861 9.238771332),9.238771332,-73.48810861,188.0,Bajo (<1.000 m)
POINT (-73.91282064 10.19995356),10.19995356,-73.91282064,209.0,Bajo (<1.000 m)
POINT (-73.73833778 9.683474681),9.683474681,-73.73833778,40.0,Bajo (<1.000 m)
POINT (-73.70649199 8.337726622),8.337726622,-73.70649199,65.0,Bajo (<1.000 m)
POINT (-73.37537309 8.405516522),8.405516522,-73.37537309,1383.0,Medio (1.000-1.800 m)
POINT (-73.61602384 8.588002247),8.588002247,-73.61602384,111.0,Bajo (<1.000 m)
POINT (-73.32249338 9.52099808),9.52099808,-73.32249338,184.0,Bajo (<1.000 m)
POINT (-73.00706275 10.38027852),10.38027852,-73.00706275,1176.0,Medio (1.000-1.800 m)
POINT (-73.57247213 8.938916143),8.938916143,-73.57247213,213.0,Bajo (<1.000 m)
POINT (-73.63295546 8.764116734),8.764116734,-73.63295546,166.0,Bajo (<1.000 m)
POINT (-73.61450632 10.41736874),10.41736874,-73.61450632,1048.0,Medio (1.000-1.800 m)
POINT (-73.48750127 8.201070245),8.201070245,-73.48750127,243.0,Bajo (<1.000 m)
POINT (-73.07824569 10.24440562),10.24440562,-73.07824569,1283.0,Medio (1.000-1.800 m)
POINT (-73.47218888 7.769815987),7.769815987,-73.47218888,79.0,Bajo (<1.000 m)
POINT (-73.2879827 10.16952712),10.16952712,-73.2879827,98.0,Bajo (<1.000 m)
POINT (-73.54436312 7.937788454),7.937788454,-73.54436312,74.0,Bajo (<1.000 m)
POINT (-73.7633962 8.902075012),8.902075012,-73.7633962,37.0,Bajo (<1.000 m)
POINT (-75.95055079 8.584698016),8.584698016,-75.95055079,47.0,Bajo (<1.000 m)
POINT (-75.04868436 8.265768688),8.265768688,-75.04868436,19.0,Bajo (<1.000 m)
POINT (-75.43382532 8.191397953),8.191397953,-75.43382532,58.0,Bajo (<1.000 m)
POINT (-76.23779081 8.7240958),8.7240958,-76.23779081,110.0,Bajo (<1.000 m)
POINT (-75.87842391 8.895667051),8.895667051,-75.87842391,13.0,Bajo (<1.000 m)
POINT (-75.65237351 9.11024941),9.11024941,-75.65237351,4.0,Bajo (<1.000 m)
POINT (-75.37387363 9.053287104),9.053287104,-75.37387363,80.0,Bajo (<1.000 m)
POINT (-75.60779829 8.841811894),8.841811894,-75.60779829,27.0,Bajo (<1.000 m)
POINT (-75.75459276 9.071460219),9.071460219,-75.75459276,3.0,Bajo (<1.000 m)
POINT (-75.28816022 8.052218422),8.052218422,-75.28816022,46.0,Bajo (<1.000 m)
POINT (-75.90978124 9.165034998),9.165034998,-75.90978124,38.0,Bajo (<1.000 m)
POINT (-76.3430552 8.823307063),8.823307063,-76.3430552,102.0,Bajo (<1.000 m)
POINT (-75.65090876 9.265461621),9.265461621,-75.65090876,20.0,Bajo (<1.000 m)
POINT (-75.87533926 7.866432635),7.866432635,-75.87533926,120.0,Bajo (<1.000 m)
POINT (-76.11931709 9.190515343),9.190515343,-76.11931709,64.0,Bajo (<1.000 m)
POINT (-75.68923803 8.181108488),8.181108488,-75.68923803,110.0,Bajo (<1.000 m)
POINT (-75.40516154 8.481339568),8.481339568,-75.40516154,54.0,Bajo (<1.000 m)
POINT (-76.19405912 8.988667731),8.988667731,-76.19405912,27.0,Bajo (<1.000 m)
POINT (-75.77123224 7.711515736),7.711515736,-75.77123224,292.0,Bajo (<1.000 m)
POINT (-75.72129392 9.282386127),9.282386127,-75.72129392,59.0,Bajo (<1.000 m)
POINT (-75.42925664 8.799007016),8.799007016,-75.42925664,100.0,Bajo (<1.000 m)
POINT (-75.52091711 9.121296353),9.121296353,-75.52091711,79.0,Bajo (<1.000 m)
POINT (-75.78700252 9.359667489),9.359667489,-75.78700252,15.0,Bajo (<1.000 m)
POINT (-75.97623858 9.330098329),9.330098329,-75.97623858,3.0,Bajo (<1.000 m)
POINT (-75.69251825 8.706464263),8.706464263,-75.69251825,50.0,Bajo (<1.000 m)
POINT (-75.5672474 7.753054395),7.753054395,-75.5672474,151.0,Bajo (<1.000 m)
POINT (-75.90958771 8.987777392),8.987777392,-75.90958771,26.0,Bajo (<1.000 m)
POINT (-76.16846678 7.813896829),7.813896829,-76.16846678,488.0,Bajo (<1.000 m)
POINT (-75.54410593 9.224630803),9.224630803,-75.54410593,76.0,Bajo (<1.000 m)
POINT (-76.2213286 8.219904128),8.219904128,-76.2213286,210.0,Bajo (<1.000 m)
POINT (-74.67111051 4.372744676),4.372744676,-74.67111051,376.0,Bajo (<1.000 m)
POINT (-74.44278432 4.891121638),4.891121638,-74.44278432,2128.0,Alto (1.800-2.200 m)
POINT (-74.5256953 4.559962881),4.559962881,-74.5256953,719.0,Bajo (<1.000 m)
POINT (-74.46194256 4.789313614),4.789313614,-74.46194256,1531.0,Medio (1.000-1.800 m)
POINT (-74.39576291 4.232786985),4.232786985,-74.39576291,1926.0,Alto (1.800-2.200 m)
POINT (-74.71491399 4.791721105),4.791721105,-74.71491399,489.0,Bajo (<1.000 m)
POINT (-74.52862766 4.847821091),4.847821091,-74.52862766,1466.0,Medio (1.000-1.800 m)
POINT (-74.3354077 4.705576252),4.705576252,-74.3354077,2619.0,Muy alto (>2.200 m)
POINT (-74.44615606 3.91861924),3.91861924,-74.44615606,2664.0,Muy alto (>2.200 m)
POINT (-74.45919528 4.723063341),4.723063341,-74.45919528,1353.0,Medio (1.000-1.800 m)
POINT (-74.02985115 4.930402779),4.930402779,-74.02985115,2562.0,Muy alto (>2.200 m)
POINT (-74.52123595 5.381501399),5.381501399,-74.52123595,702.0,Bajo (<1.000 m)
POINT (-73.94482435 4.402259457),4.402259457,-73.94482435,1735.0,Medio (1.000-1.800 m)
POINT (-73.92614817 5.338856556),5.338856556,-73.92614817,3009.0,Muy alto (>2.200 m)
POINT (-74.63090139 4.95425175),4.95425175,-74.63090139,1100.0,Medio (1.000-1.800 m)
POINT (-74.03809539 4.857823671),4.857823671,-74.03809539,2546.0,Muy alto (>2.200 m)
POINT (-74.04605246 4.463746629),4.463746629,-74.04605246,2867.0,Muy alto (>2.200 m)
POINT (-73.95290054 4.578183896),4.578183896,-73.95290054,2412.0,Muy alto (>2.200 m)
POINT (-73.68068583 5.118419271),5.118419271,-73.68068583,2766.0,Muy alto (>2.200 m)
POINT (-73.97536559 5.103127532),5.103127532,-73.97536559,2795.0,Muy alto (>2.200 m)
POINT (-74.1415583 4.76754674),4.76754674,-74.1415583,2555.0,Muy alto (>2.200 m)
POINT (-73.78001885 5.230308105),5.230308105,-73.78001885,2638.0,Muy alto (>2.200 m)
POINT (-74.42658478 4.556947085),4.556947085,-74.42658478,1556.0,Medio (1.000-1.800 m)
POINT (-74.30830564 5.261728244),5.261728244,-74.30830564,1346.0,Medio (1.000-1.800 m)
POINT (-74.23802273 4.879723016),4.879723016,-74.23802273,2632.0,Muy alto (>2.200 m)
POINT (-74.3380229 4.834052334),4.834052334,-74.3380229,2708.0,Muy alto (>2.200 m)
POINT (-73.79705267 4.528568462),4.528568462,-73.79705267,3073.0,Muy alto (>2.200 m)
POINT (-73.95286784 4.316280072),4.316280072,-73.95286784,1951.0,Alto (1.800-2.200 m)
POINT (-74.19865992 4.743996711),4.743996711,-74.19865992,2551.0,Muy alto (>2.200 m)
POINT (-73.77059829 5.416288902),5.416288902,-73.77059829,2744.0,Muy alto (>2.200 m)
POINT (-74.38859114 4.323534028),4.323534028,-74.38859114,1607.0,Medio (1.000-1.800 m)
POINT (-73.51055381 4.65495513),4.65495513,-73.51055381,1733.0,Medio (1.000-1.800 m)
POINT (-73.87671759 5.01001953),5.01001953,-73.87671759,2563.0,Muy alto (>2.200 m)
POINT (-73.61773287 4.867551134),4.867551134,-73.61773287,2274.0,Muy alto (>2.200 m)
POINT (-73.60054441 4.723573464),4.723573464,-73.60054441,2781.0,Muy alto (>2.200 m)
POINT (-74.81143922 4.338154518),4.338154518,-74.81143922,349.0,Bajo (<1.000 m)
POINT (-74.33724619 4.523484884),4.523484884,-74.33724619,2454.0,Muy alto (>2.200 m)
POINT (-73.69328234 5.387291542),5.387291542,-73.69328234,2678.0,Muy alto (>2.200 m)
POINT (-74.64014651 5.173554764),5.173554764,-74.64014651,925.0,Bajo (<1.000 m)
POINT (-73.84643485 4.801276832),4.801276832,-73.84643485,3340.0,Muy alto (>2.200 m)
POINT (-74.78257788 4.516381655),4.516381655,-74.78257788,366.0,Bajo (<1.000 m)
POINT (-73.78648564 4.91158717),4.91158717,-73.78648564,2838.0,Muy alto (>2.200 m)
POINT (-74.4767709 4.866310254),4.866310254,-74.4767709,1614.0,Medio (1.000-1.800 m)
POINT (-73.83543981 4.231875945),4.231875945,-73.83543981,1695.0,Medio (1.000-1.800 m)
POINT (-74.0246527 4.166089563),4.166089563,-74.0246527,2043.0,Alto (1.800-2.200 m)
POINT (-74.68915854 4.571350254),4.571350254,-74.68915854,307.0,Bajo (<1.000 m)
POINT (-73.69247873 4.705170789),4.705170789,-73.69247873,2854.0,Muy alto (>2.200 m)
POINT (-73.92939921 4.700785443),4.700785443,-73.92939921,2906.0,Muy alto (>2.200 m)
POINT (-74.47321717 4.650773167),4.650773167,-74.47321717,927.0,Bajo (<1.000 m)
POINT (-74.40807863 5.333400646),5.333400646,-74.40807863,1421.0,Medio (1.000-1.800 m)
POINT (-74.40786611 5.20459882),5.20459882,-74.40786611,773.0,Bajo (<1.000 m)
POINT (-74.33936061 4.978619842),4.978619842,-74.33936061,1495.0,Medio (1.000-1.800 m)
POINT (-73.68153228 5.303637171),5.303637171,-73.68153228,2971.0,Muy alto (>2.200 m)
POINT (-73.61738241 5.040349198),5.040349198,-73.61738241,2064.0,Alto (1.800-2.200 m)
POINT (-74.2896305 4.75156751),4.75156751,-74.2896305,2551.0,Muy alto (>2.200 m)
POINT (-73.56313741 4.976881151),4.976881151,-73.56313741,1795.0,Medio (1.000-1.800 m)
POINT (-73.40598487 4.484437919),4.484437919,-73.40598487,675.0,Bajo (<1.000 m)
POINT (-74.23573194 4.672714223),4.672714223,-74.23573194,2544.0,Muy alto (>2.200 m)
POINT (-74.80565317 4.407952015),4.407952015,-74.80565317,433.0,Bajo (<1.000 m)
POINT (-73.88380238 5.093705358),5.093705358,-73.88380238,2572.0,Muy alto (>2.200 m)
POINT (-74.614695 4.294780933),4.294780933,-74.614695,348.0,Bajo (<1.000 m)
POINT (-74.39737048 5.121445325),5.121445325,-74.39737048,872.0,Bajo (<1.000 m)
POINT (-74.38975476 5.066110761),5.066110761,-74.38975476,1044.0,Medio (1.000-1.800 m)
POINT (-74.45259796 4.063342074),4.063342074,-74.45259796,2187.0,Alto (1.800-2.200 m)
POINT (-74.16336544 5.168367634),5.168367634,-74.16336544,1616.0,Medio (1.000-1.800 m)
POINT (-74.16395696 5.387647345),5.387647345,-74.16395696,923.0,Bajo (<1.000 m)
POINT (-74.4711213 4.180497268),4.180497268,-74.4711213,1302.0,Medio (1.000-1.800 m)
POINT (-73.2416614 4.368158959),4.368158959,-73.2416614,272.0,Bajo (<1.000 m)
POINT (-74.27396924 4.293733611),4.293733611,-74.27396924,2575.0,Muy alto (>2.200 m)
POINT (-74.5801923 5.619752748),5.619752748,-74.5801923,202.0,Bajo (<1.000 m)
POINT (-74.68074404 4.691336253),4.691336253,-74.68074404,871.0,Bajo (<1.000 m)
POINT (-74.4945107 5.09998103),5.09998103,-74.4945107,920.0,Bajo (<1.000 m)
POINT (-73.85264561 4.334589044),4.334589044,-73.85264561,1742.0,Medio (1.000-1.800 m)
POINT (-74.55359926 4.726907976),4.726907976,-74.55359926,1678.0,Medio (1.000-1.800 m)
POINT (-74.59124656 4.537711619),4.537711619,-74.59124656,516.0,Bajo (<1.000 m)
POINT (-74.72943403 4.307363489),4.307363489,-74.72943403,289.0,Bajo (<1.000 m)
POINT (-74.34490342 4.599741357),4.599741357,-74.34490342,1529.0,Medio (1.000-1.800 m)
POINT (-74.35397692 4.140958464),4.140958464,-74.35397692,2708.0,Muy alto (>2.200 m)
POINT (-74.07232077 5.314600423),5.314600423,-74.07232077,2474.0,Muy alto (>2.200 m)
POINT (-74.27217129 4.964100703),4.964100703,-74.27217129,1781.0,Medio (1.000-1.800 m)
POINT (-74.61525985 4.814537831),4.814537831,-74.61525985,1065.0,Medio (1.000-1.800 m)
POINT (-74.41230921 4.946805263),4.946805263,-74.41230921,1431.0,Medio (1.000-1.800 m)
POINT (-73.77206544 5.000633875),5.000633875,-73.77206544,2902.0,Muy alto (>2.200 m)
POINT (-74.26328963 4.465970004),4.465970004,-74.26328963,2690.0,Muy alto (>2.200 m)
POINT (-74.37050903 4.436967141),4.436967141,-74.37050903,1857.0,Alto (1.800-2.200 m)
POINT (-73.84519164 5.509773128),5.509773128,-73.84519164,2555.0,Muy alto (>2.200 m)
POINT (-74.24029696 4.581866267),4.581866267,-74.24029696,2551.0,Muy alto (>2.200 m)
POINT (-73.96587528 4.888060112),4.888060112,-73.96587528,2557.0,Muy alto (>2.200 m)
POINT (-74.15689923 4.970358034),4.970358034,-74.15689923,2797.0,Muy alto (>2.200 m)
POINT (-73.82427313 5.122728461),5.122728461,-73.82427313,2916.0,Muy alto (>2.200 m)
POINT (-74.23138328 5.061692703),5.061692703,-74.23138328,1823.0,Alto (1.800-2.200 m)
POINT (-73.82392529 5.440092358),5.440092358,-73.82392529,2752.0,Muy alto (>2.200 m)
POINT (-73.85540343 5.242909347),5.242909347,-73.85540343,2607.0,Muy alto (>2.200 m)
POINT (-74.08449648 4.951520046),4.951520046,-74.08449648,2625.0,Muy alto (>2.200 m)
POINT (-73.95819594 5.170527212),5.170527212,-73.95819594,3009.0,Muy alto (>2.200 m)
POINT (-74.36764956 4.666608192),4.666608192,-74.36764956,1824.0,Alto (1.800-2.200 m)
POINT (-74.14680287 4.838548601),4.838548601,-74.14680287,2572.0,Muy alto (>2.200 m)
POINT (-74.48667274 4.321357899),4.321357899,-74.48667274,1617.0,Medio (1.000-1.800 m)
POINT (-73.51362546 5.084102682),5.084102682,-73.51362546,2371.0,Muy alto (>2.200 m)
POINT (-74.64864406 4.452072974),4.452072974,-74.64864406,347.0,Bajo (<1.000 m)
POINT (-73.92887021 4.968852913),4.968852913,-73.92887021,2556.0,Muy alto (>2.200 m)
POINT (-74.28963994 5.355688386),5.355688386,-74.28963994,1310.0,Medio (1.000-1.800 m)
POINT (-73.47654604 4.803805182),4.803805182,-73.47654604,2217.0,Muy alto (>2.200 m)
POINT (-73.97564545 4.500754182),4.500754182,-73.97564545,2502.0,Muy alto (>2.200 m)
POINT (-73.82010566 5.316080652),5.316080652,-73.82010566,2564.0,Muy alto (>2.200 m)
POINT (-74.11187304 4.244611163),4.244611163,-74.11187304,3441.0,Muy alto (>2.200 m)
POINT (-74.47780003 5.192795708),5.192795708,-74.47780003,508.0,Bajo (<1.000 m)
POINT (-74.30979229 5.131267542),5.131267542,-74.30979229,1126.0,Medio (1.000-1.800 m)
POINT (-74.54936655 4.914040619),4.914040619,-74.54936655,1656.0,Medio (1.000-1.800 m)
POINT (-74.19074375 5.270694636),5.270694636,-74.19074375,1643.0,Medio (1.000-1.800 m)
POINT (-73.57725921 5.227298709),5.227298709,-73.57725921,2876.0,Muy alto (>2.200 m)
POINT (-74.48764746 5.011670402),5.011670402,-74.48764746,858.0,Bajo (<1.000 m)
POINT (-74.48543339 4.436054105),4.436054105,-74.48543339,922.0,Bajo (<1.000 m)
POINT (-74.36480865 5.591910157),5.591910157,-74.36480865,1110.0,Medio (1.000-1.800 m)
