municipio,latitud,longitud,altitud_msnm,cat_altitud
POINT (-75.60220206 5.746583958),5.746583958,-75.60220206,618.0,Bajo (<1.000 m)
POINT (-75.35429023 5.940434685),5.940434685,-75.35429023,2452.0,Muy alto (>2.200 m)
POINT (-75.78300046 6.723990935),6.723990935,-75.78300046,1596.0,Medio (1.000-1.800 m)
POINT (-74.71410854 6.534573585),6.534573585,-74.71410854,843.0,Bajo (<1.000 m)
POINT (-75.30487933 6.18520515),6.18520515,-75.30487933,2158.0,Alto (1.800-2.200 m)
POINT (-75.51972693 5.916853903),5.916853903,-75.51972693,2181.0,Alto (1.800-2.200 m)
POINT (-76.70861349 6.828773855),6.828773855,-76.70861349,41.0,Bajo (<1.000 m)
POINT (-76.4630657 7.329557848),7.329557848,-76.4630657,433.0,Bajo (<1.000 m)
POINT (-75.19457019 5.581275312),5.581275312,-75.19457019,1584.0,Medio (1.000-1.800 m)
POINT (-76.67699588 8.493728551),8.493728551,-76.67699588,40.0,Bajo (<1.000 m)
POINT (-74.65844186 7.983477394),7.983477394,-74.65844186,228.0,Bajo (<1.000 m)
POINT (-75.77567097 6.611418083),6.611418083,-75.77567097,1072.0,Medio (1.000-1.800 m)
POINT (-75.22350906 6.232396368),6.232396368,-75.22350906,1881.0,Alto (1.800-2.200 m)
POINT (-75.88968843 7.044180058),7.044180058,-75.88968843,1859.0,Alto (1.800-2.200 m)
POINT (-75.86076667 5.80970186),5.80970186,-75.86076667,1527.0,Medio (1.000-1.800 m)
POINT (-74.5287421 6.481922267),6.481922267,-74.5287421,329.0,Bajo (<1.000 m)
POINT (-74.70317722 6.126539139),6.126539139,-74.70317722,379.0,Bajo (<1.000 m)
POINT (-74.6861918 5.954830151),5.954830151,-74.6861918,162.0,Bajo (<1.000 m)
POINT (-74.55865652 6.997267375),6.997267375,-74.55865652,549.0,Bajo (<1.000 m)
POINT (-75.51573805 6.053444254),6.053444254,-75.51573805,2182.0,Alto (1.800-2.200 m)
POINT (-75.41076052 6.150785807),6.150785807,-75.41076052,2111.0,Alto (1.800-2.200 m)
POINT (-75.79222754 6.901000506),6.901000506,-75.79222754,1398.0,Medio (1.000-1.800 m)
POINT (-75.60880599 6.138305183),6.138305183,-75.60880599,1704.0,Medio (1.000-1.800 m)
POINT (-75.98137251 5.970502334),5.970502334,-75.98137251,1436.0,Medio (1.000-1.800 m)
POINT (-75.6657758 6.918427233),6.918427233,-75.6657758,1715.0,Medio (1.000-1.800 m)
POINT (-74.90732769 6.193789659),6.193789659,-74.90732769,1010.0,Medio (1.000-1.800 m)
POINT (-74.98176334 5.840093731),5.840093731,-74.98176334,840.0,Bajo (<1.000 m)
POINT (-75.70310727 6.438300409),6.438300409,-75.70310727,1340.0,Medio (1.000-1.800 m)
POINT (-75.67770826 6.823258913),6.823258913,-75.67770826,2897.0,Muy alto (>2.200 m)
POINT (-76.53248234 8.707141583),8.707141583,-76.53248234,44.0,Bajo (<1.000 m)
POINT (-75.0076674 6.024205956),6.024205956,-75.0076674,1757.0,Medio (1.000-1.800 m)
POINT (-75.5624839 6.458666308),6.458666308,-75.5624839,2460.0,Muy alto (>2.200 m)
POINT (-76.31664233 8.37915695),8.37915695,-76.31664233,89.0,Bajo (<1.000 m)
POINT (-74.99858652 6.31074453),6.31074453,-74.99858652,976.0,Bajo (<1.000 m)
