cod_municipio,nom_municipio,cod_departamento,nom_departamento,latitud,longitud
05541,PEÑOL,05,ANTIOQUIA,6.232396368,-75.22350906
05543,PEQUE,05,ANTIOQUIA,7.044180058,-75.88968843
05576,PUEBLORRICO,05,ANTIOQUIA,5.80970186,-75.86076667
05579,PUERTO BERRÍO,05,ANTIOQUIA,6.481922267,-74.5287421
05585,PUERTO NARE,05,ANTIOQUIA,6.126539139,-74.70317722
05591,PUERTO TRIUNFO,05,ANTIOQUIA,5.954830151,-74.6861918
05604,REMEDIOS,05,ANTIOQUIA,6.997267375,-74.55865652
05607,RETIRO,05,ANTIOQUIA,6.053444254,-75.51573805
05615,RIONEGRO,05,ANTIOQUIA,6.150785807,-75.41076052
05628,SABANALARGA,05,ANTIOQUIA,6.901000506,-75.79222754
05631,SABANETA,05,ANTIOQUIA,6.138305183,-75.60880599
05642,SALGAR,05,ANTIOQUIA,5.970502334,-75.98137251
05647,SAN ANDRÉS DE CUERQUÍA,05,ANTIOQUIA,6.918427233,-75.6657758
05649,SAN CARLOS,05,ANTIOQUIA,6.193789659,-74.90732769
05652,SAN FRANCISCO,05,ANTIOQUIA,5.840093731,-74.98176334
05656,SAN JERÓNIMO,05,ANTIOQUIA,6.438300409,-75.70310727
05658,SAN JOSÉ DE LA MONTAÑA,05,ANTIOQUIA,6.823258913,-75.67770826
05659,SAN JUAN DE URABÁ,05,ANTIOQUIA,8.707141583,-76.53248234
05660,SAN LUIS,05,ANTIOQUIA,6.024205956,-75.0076674
05664,SAN PEDRO DE LOS MILAGROS,05,ANTIOQUIA,6.458666308,-75.5624839
05665,SAN PEDRO DE URABÁ,05,ANTIOQUIA,8.37915695,-76.31664233
05667,SAN RAFAEL,05,ANTIOQUIA,6.31074453,-74.99858652
05670,SAN ROQUE,05,ANTIOQUIA,6.466165211,-74.9450732
05674,SAN VICENTE FERRER,05,ANTIOQUIA,6.310387522,-75.32740163
05679,SANTA BÁRBARA,05,ANTIOQUIA,5.878984956,-75.58330371
05686,SANTA ROSA DE OSOS,05,ANTIOQUIA,6.675827825,-75.43814333
05690,SANTO DOMINGO,05,ANTIOQUIA,6.481044132,-75.14260097
05697,EL SANTUARIO,05,ANTIOQUIA,6.124209495,-75.25212278
05736,SEGOVIA,05,ANTIOQUIA,7.26692339,-74.62163926
05756,SONSÓN,05,ANTIOQUIA,5.826388779,-74.83637623
05761,SOPETRÁN,05,ANTIOQUIA,6.520164552,-75.74580903
05789,TÁMESIS,05,ANTIOQUIA,5.673758571,-75.70979974
05790,TARAZÁ,05,ANTIOQUIA,7.488875998,-75.40189438
05792,TARSO,05,ANTIOQUIA,5.871064557,-75.82871144
05809,TITIRIBÍ,05,ANTIOQUIA,6.058349971,-75.79966005
05819,TOLEDO,05,ANTIOQUIA,7.016397069,-75.71363382
05837,TURBO,05,ANTIOQUIA,8.173851745,-76.5740377
